price,listing_year,land_area_cents,built_up_sqft,bedrooms,bathrooms,parking,property_age,land_area_cents_capped,built_up_sqft_capped,bedrooms_capped,bathrooms_capped,property_age_capped,parking_capped,land_area_cents_missing,property_age_missing,built_up_sqft_missing,bedrooms_missing,log_price,n_amenities,amen_vehicle_parking_facility,amen_good_residential_area,amen_electricity_connection,amen_kitchen,amen_hall,amen_dining_room,amen_tar_road_frontage,amen_lorry_access,amen_calm_and_quiet_area,amen_living_room,amen_balcony,amen_kitchen_with_cupboard_works,amen_compound_wall_and_gate,amen_car_porch,amen_sitout,amen_work_area,amen_vitrified_tiles,amen_two_wheeler_access,amen_well_water,amen_3_phase_electricity_connection,amen_full_of_greenery,amen_common_bathroom,amen_water_authority_connection,amen_panoramic_view,amen_bus_route,amen_commercial_residential_purpose,amen_drawing_room,amen_square_plot,amen_posh_residential_area,amen_study_room,amen_24_hours_water_supply,amen_furnished,amen_rectangular_plot,amen_gated_colony,amen_wood_works,amen_marble_flooring,amen_main_road_frontage,amen_security,amen_store_room,amen_landscape_garden,amen_2_side_road,amen_lift_facility,amen_garden,amen_power_backup,amen_air_conditioning,amen_outside_toilet,amen_borewell_water_source,amen_2_way_entrance,amen_swimming_pool,locality_freq,dist_Ernakulam,dist_Idukki,dist_Kannur,dist_Kasargod,dist_Kollam,dist_Kottayam,dist_Kozhikode,dist_Malappuram,dist_Palakkad,dist_Pathanamthitta,dist_Thiruvananthapuram,dist_Thrissur,dist_Wayanad,type_commercial,type_house,type_land,type_other,type_villa
6000000.0,2026,6.0,1000.0,2.0,2.0,0.0,16.0,0,0,0,0,0,0,0,1,0,0,15.607270193858982,13,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001352657004830918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6900000.0,2026,8.0,1760.0,3.0,3.0,1.0,16.0,0,0,0,0,0,0,1,1,0,0,15.747032114495013,17,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.008888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20000000.0,2026,8.0,2900.0,4.0,4.0,1.0,16.0,0,0,0,0,0,0,1,0,0,0,16.811242881518265,17,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.008888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82500000.0,2026,8.0,3320.0,3.0,5.0,6.0,3.0,0,0,0,0,0,0,1,0,0,0,18.228308863426122,71,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0.02241545893719807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14500000.0,2026,5.6899999999999995,2500.0,5.0,5.0,3.0,16.0,0,0,0,0,0,0,1,1,0,0,16.489659276356317,19,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003864734299516908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19500000.0,2026,8.0,1800.0,4.0,4.0,1.0,16.0,0,0,0,0,0,0,1,1,1,0,16.785925074816024,18,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3900000.0,2026,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,15.176487367510099,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5500000.0,2026,5.6899999999999995,1750.0,3.0,3.0,1.0,16.0,0,0,0,0,0,0,1,1,0,0,15.520258832020865,14,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017391304347826088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4000000.0,2026,6.45,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,15.201805169084134,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014492753624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8700000.0,2026,8.0,2500.0,4.0,4.0,1.0,16.0,0,0,0,0,0,0,1,1,0,0,15.978833698567334,17,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02241545893719807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
